Contig1000	co3
Contig1012	se15
Contig1014	se13
Contig1016	co0
Contig1023	se14
Contig1032	se26
Contig1036	co0
Contig1038	se15
Contig1045	co0
Contig1056	co0
Contig1061	co0
Contig1062	se12
Contig1065	se7
Contig1069	co2
Contig1071	se26
Contig1081	co0
Contig1083	se8
Contig1089	se30
Contig1102	co0
Contig1108	co2
Contig1110	se7
Contig1111	se18
Contig1113	se52
Contig1115	co0
Contig1116	co0
Contig1117	co0
Contig1118	co0
Contig1123	co0
Contig1128	co0
Contig1130	co0
Contig1132	se7
Contig1133	co5_co0
Contig1134	co5
Contig1135	se10
Contig1136	se13
Contig1137	se26
Contig1141	se30
Contig1142	se44
Contig1144	co4
Contig1145	co2
Contig1147	co0
Contig1151	co3
Contig1153	co3
Contig1157	se26
Contig1158	co3
Contig1163	co4
Contig1164	co0
Contig1165	co4
Contig1169	se15
Contig1170	co0
Contig1172	co1
Contig1173	se12
Contig1180	co4
Contig1182	se18
Contig1184	se9
Contig1185	se8
Contig1186	co0
Contig1189	se47
Contig1192	co0
Contig1194	se26
Contig1195	se7
Contig1197	se10
Contig1198	co0
Contig1199	se15
Contig1200	se26
Contig1204	co0
Contig1208	co0
Contig1209	se31
Contig1210	co0
Contig1213	co5
Contig1214	se15
Contig1216	se13
Contig1217	co2
Contig1218	se15
Contig1222	co2
Contig1223	co1
Contig1224	co0
Contig1225	co1
Contig1228	se9
Contig1230	se14
Contig1234	se11
Contig1235	co0
Contig1237	co1
Contig1239	se11
Contig1240	se18
Contig1242	co0
Contig1248	se76
Contig1250	se30
Contig1257	se12
Contig1259	co5
Contig1261	co5
Contig1263	co5
Contig1265	co4
Contig1267	co2
Contig1268	co0_co5
Contig1269	co0
Contig1270	co0
Contig1271	se31
Contig1273	co0_co5
Contig1274	co0
Contig1275	se56
Contig1277	co1
Contig1278	co4
Contig1280	co0
Contig1281	co0
Contig1282	se9
Contig1284	co0
Contig1285	co0
Contig1286	se13
Contig1287	co0_co0
Contig1288	co4
Contig1291	co0
Contig1292	co4
Contig1293	se18
Contig1295	se14
Contig1296	co0
Contig1297	se26
Contig1298	co1
Contig1299	co5
Contig1300	co1
Contig1303	co2
Contig1304	co0
Contig1305	co0
Contig1306	co3
Contig1307	co3
Contig1308	co5
Contig1309	co0
Contig1310	co0
Contig1311	se47_co4
Contig1313	se52
Contig1314	co2
Contig1315	co4
Contig1316	co3
Contig1318	co0
Contig1321	co1
Contig1322	se12_co0
Contig1324	se18
Contig1325	co0
Contig1330	se9
Contig1332	co0
Contig1333	co1
Contig1334	co1
Contig1335	co0
Contig1336	co0_se44
Contig1337	co0
Contig1338	co1
Contig1339	co0
Contig1342	se12
Contig1343	co0
Contig1344	co0
Contig1345	co3
Contig1347	se26
Contig1348	co5
Contig1349	se47
Contig1350	se11
Contig1351	co0
Contig1352	se18
Contig1353	co5
Contig1358	co0
Contig1359	co0_se44
Contig1360	co0
Contig1361	co4
Contig1362	co0
Contig1366	se7
Contig1367	se18
Contig1369	co1
Contig1371	co2
Contig1372	se47
Contig1373	se74
Contig1374	co0
Contig1375	se13
Contig1376	se14
Contig1377	se14_se18
Contig1378	co0
Contig1380	se6
Contig1381	se47
Contig1382	se8
Contig1383	co0
Contig1386	se6
Contig1387	co0
Contig1388	co1_se47
Contig1390	co4
Contig1391	co0
Contig1392	co4
Contig1393	se6
Contig1394	co2
Contig1395	co0
Contig1396	co0
Contig1397	se15_co0
Contig1398	co0
Contig1400	se7
Contig1401	co2
Contig1402	co1
Contig1403	co2
Contig1404	co0
Contig1405	co0
Contig1406	co2
Contig1407	co0_co5
Contig1408	se9_se26_co0_se15_co5
Contig1409	co1
Contig1410	co5
Contig1412	co2
Contig1413	se56
Contig1414	se10
Contig1415	se13
Contig1416	co0
Contig1418	co1
Contig1419	se31
Contig1420	co0
Contig1421	co2_se8
Contig1423	co4
Contig1424	se12
Contig1426	co0
Contig1427	se15_se8_se52_se56
Contig1428	co0
Contig1429	se9
Contig1430	co0
Contig1432	co4
Contig712	se14
Contig722	co5
Contig768	co4
Contig838	co0
Contig857	se13
Contig863	se15
Contig899	se15
Contig913	co5
Contig933	se13
Contig939	co4
Contig943	co1
Contig951	co4
Contig953	co4
Contig962	se13
Contig970	co0
Contig972	co0
Contig977	co0
Contig985	se76
Contig988	co0
Contig993	co5
Contig995	se8
Contig997	co0
Contig998	co1
