Contig1045	se00_se00
Contig1069	se00
Contig1081	co00
Contig1083	se00
Contig1132	se00
Contig1137	se00_se00
Contig1142	se00
Contig1144	co00
Contig1157	co00_se00
Contig1165	co00
Contig1169	se00
Contig1170	co00_co00
Contig1184	se00
Contig1186	co00
Contig1192	co00
Contig1214	se00
Contig1216	co00
Contig1235	se00
Contig1248	co00
Contig1250	co00
Contig1259	co00_se00
Contig1263	co00
Contig1269	se00
Contig1280	co00
Contig1281	se00
Contig1284	se00
Contig1286	co00
Contig1288	co00_co00
Contig1292	co00
Contig1295	co00
Contig1298	co00
Contig1304	co00
Contig1306	se00
Contig1308	se00
Contig1313	co00
Contig1314	co00
Contig1316	co00
Contig1318	co00
Contig1324	co00
Contig1330	se00
Contig1332	se00
Contig1333	co00
Contig1337	co00
Contig1338	co00
Contig1342	se00
Contig1344	se00
Contig1345	co00
Contig1347	se00
Contig1348	co00
Contig1350	co00_co00
Contig1351	co00
Contig1362	se00
Contig1366	co00
Contig1367	co00
Contig1372	co00
Contig1373	co00_co00
Contig1374	co00_se00
Contig1375	co00
Contig1376	co00
Contig1377	co00
Contig1378	co00
Contig1383	co00
Contig1386	se00
Contig1388	se00
Contig1391	co00
Contig1392	co00_se00
Contig1394	se00
Contig1395	co00
Contig1396	co00
Contig1401	co00
Contig1402	se00
Contig1404	se00
Contig1406	co00
Contig1407	se00
Contig1408	co00
Contig1409	co00
Contig1412	se00
Contig1413	se00
Contig1414	se00
Contig1416	co00
Contig1418	co00
Contig1419	co00
Contig1420	co00
Contig1421	co00
Contig1423	co00
Contig1424	se00
Contig1426	co00_se00
Contig1427	se00
Contig1428	se00
Contig1430	co00
Contig1432	se00
